StudentID,Grade,Attempt,Date,Reading,Math,Writing,Total
12050063,11,2,5/4/2013,440,490,430,1360
12050063,11,3,6/1/2013,420,570,480,1470
12050063,12,4,10/5/2013,390,540,400,1330
12050069,11,1,3/1/2011,380,490,410,1280
12050069,11,2,6/1/2011,450,500,460,1410
12050069,12,3,10/1/2011,450,500,470,1420
12050073,11,1,3/1/2011,320,350,320,990
12050073,11,2,6/1/2011,240,350,300,890
12050073,11,3,3/1/2012,260,300,330,890
12050073,11,4,5/1/2012,270,310,270,850
12050073,11,5,6/1/2012,310,370,260,940
12050073,12,6,10/1/2012,320,410,310,1040
12050078,11,1,3/1/2011,360,510,460,1330
12050078,11,2,6/1/2011,430,510,560,1500
12050078,11,3,3/1/2012,490,550,520,1560
12050078,11,4,5/1/2012,480,570,560,1610
12050078,12,5,10/1/2012,470,510,460,1440
12050088,12,1,10/1/2010,390,350,420,1160
12050088,12,2,3/1/2011,380,440,420,1240
12050088,12,3,6/1/2011,390,380,440,1210
12050091,11,1,3/1/2011,560,520,540,1620
12050091,11,2,6/1/2011,560,540,520,1620
12050091,12,3,10/1/2011,560,540,560,1660
12060006,11,1,3/8/2014,350,350,360,1060
12060006,11,2,6/7/2014,330,280,310,920
12060006,12,3,10/11/2014,320,270,410,1000
12060010,11,1,3/1/2013,370,450,460,1280
12060010,11,2,5/4/2013,400,470,430,1300
12060010,11,3,6/1/2013,330,440,450,1220
12060010,12,4,10/5/2013,360,520,470,1350
12060018,11,1,5/4/2013,510,520,580,1610
12060018,11,2,6/1/2013,480,560,560,1600
12060018,12,3,10/5/2013,550,530,520,1600
12060024,11,1,3/1/2013,660,640,610,1910
12060024,11,2,5/4/2013,710,610,640,1960
12060024,11,3,6/1/2013,710,610,640,1960
12060024,12,4,10/5/2013,710,710,670,2090
12060033,11,1,3/1/2013,490,530,400,1420
12060033,11,2,5/4/2013,490,530,430,1450
12060033,11,3,6/1/2013,490,530,430,1450
12060033,12,4,10/5/2013,560,520,460,1540
12060041,11,1,3/1/2013,430,400,440,1270
12060041,11,2,5/4/2013,430,400,530,1360
12060041,11,3,6/1/2013,420,460,450,1330
12060041,12,4,10/5/2013,380,430,450,1260
12060045,11,1,5/4/2013,370,390,470,1230
