StudentID,State,PLE,Gender,Grade,Indicator,Attempt,Date,Reading,Math,Writing,Total,X9.0.Reading,X9.0.Writing,X9.0.Math,X9.0.Other.s.,X9.0.Other,X9.0.Sports,X9.0.Arts,X9.1.Reading,X9.1.Writing,X9.1.Math,X9.1.Other.s.,X9.1.Other,X9.1.Sports,X9.1.Arts,X10.0.Reading,X10.0.Writing,X10.0.Math,X10.0.Other.s.,X10.0.Other,X10.0.Sports,X10.0.Arts,X10.1.Reading,X10.1.Writing,X10.1.Math,X10.1.Other.s.,X10.1.Other,X10.1.Sports,X10.1.Arts,X11.0.Reading,X11.0.Writing,X11.0.Math,X11.0.Other.s.,X11.0.Other,X11.0.Sports,X11.0.Arts,X11.1.Reading,X11.1.Writing,X11.1.Math,X11.1.Other.s.,X11.1.Other,X11.1.Sports,X11.1.Arts,X12.0.Reading,X12.0.Writing,X12.0.Math,X12.0.Other.s.,X12.0.Other,X12.0.Sports,X12.0.Arts,X12.1.Reading,X12.1.Writing,X12.1.Math,X12.1.Other.s.,X12.1.Other,X12.1.Sports,X12.1.Arts
12030017,CT,7,F,12,X12.0,1,10/1/2010,380,400,430,1210,86,NA,65,51,1,1,1,NA,NA,NA,NA,0,0,0,87.5,NA,66.7,73.5,1,1,1,NA,NA,NA,NA,0,0,0,79,95,83,77.5,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,84,80.2,1,1,1,NA,NA,NA,NA,0,0,0
12030017,CT,7,F,12,X12.0,2,3/1/2011,440,440,480,1360,86,NA,65,51,1,1,1,NA,NA,NA,NA,0,0,0,87.5,NA,66.7,73.5,1,1,1,NA,NA,NA,NA,0,0,0,79,95,83,77.5,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,84,80.2,1,1,1,NA,NA,NA,NA,0,0,0
12030017,CT,7,F,12,X12.0,3,6/1/2011,530,450,570,1550,86,NA,65,51,1,1,1,NA,NA,NA,NA,0,0,0,87.5,NA,66.7,73.5,1,1,1,NA,NA,NA,NA,0,0,0,79,95,83,77.5,0,0,1,NA,NA,NA,NA,0,0,0,NA,NA,84,80.2,1,1,1,NA,NA,NA,NA,0,0,0
12030019,CT,7,F,12,X12.0,1,10/1/2010,360,250,440,1050,70.1,NA,72,50,1,1,0,NA,NA,NA,NA,0,0,0,80,NA,60,62,1,0,0,NA,NA,NA,NA,0,0,0,74,85,73,74.2,0,1,0,NA,NA,NA,NA,0,0,0,91,87,55,74.2,1,1,1,NA,NA,NA,NA,0,0,0
12030019,CT,7,F,12,X12.0,2,3/1/2011,400,340,410,1150,70.1,NA,72,50,1,1,0,NA,NA,NA,NA,0,0,0,80,NA,60,62,1,0,0,NA,NA,NA,NA,0,0,0,74,85,73,74.2,0,1,0,NA,NA,NA,NA,0,0,0,91,87,55,74.2,1,1,1,NA,NA,NA,NA,0,0,0
12030019,CT,7,F,12,X12.0,3,6/1/2011,400,350,370,1120,70.1,NA,72,50,1,1,0,NA,NA,NA,NA,0,0,0,80,NA,60,62,1,0,0,NA,NA,NA,NA,0,0,0,74,85,73,74.2,0,1,0,NA,NA,NA,NA,0,0,0,91,87,55,74.2,1,1,1,NA,NA,NA,NA,0,0,0
12030025,CT,6,F,12,X12.0,1,10/1/2010,440,470,410,1320,75,NA,85,50,1,1,0,NA,NA,NA,NA,0,0,0,79,NA,76.5,82.5,1,1,0,NA,NA,NA,NA,0,0,0,79,95,96,82.5,0,0,0,NA,NA,NA,NA,0,0,0,100,98,100,84,1,0,1,NA,NA,NA,NA,0,0,0
12030025,CT,6,F,12,X12.0,2,3/1/2011,400,460,460,1320,75,NA,85,50,1,1,0,NA,NA,NA,NA,0,0,0,79,NA,76.5,82.5,1,1,0,NA,NA,NA,NA,0,0,0,79,95,96,82.5,0,0,0,NA,NA,NA,NA,0,0,0,100,98,100,84,1,0,1,NA,NA,NA,NA,0,0,0
12030025,CT,6,F,12,X12.0,3,6/1/2011,460,420,420,1300,75,NA,85,50,1,1,0,NA,NA,NA,NA,0,0,0,79,NA,76.5,82.5,1,1,0,NA,NA,NA,NA,0,0,0,79,95,96,82.5,0,0,0,NA,NA,NA,NA,0,0,0,100,98,100,84,1,0,1,NA,NA,NA,NA,0,0,0
12030027,CT,6,M,12,X12.0,1,10/1/2010,420,480,440,1340,82,NA,63,63,1,1,0,NA,NA,NA,NA,0,0,0,81.5,NA,79.5,85,0,1,0,72,58,66,76.2,0,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,71.8,66.5,67.2,69.9,1,1,1,NA,NA,NA,NA,0,0,0
12030031,CT,5,F,12,X12.0,1,10/1/2011,530,520,510,1560,50,NA,75,50,1,1,0,50,NA,82,100,0,1,0,71,50,92,83.8,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,50,62,90,81,1,0,1,87,85,NA,74.3,1,0,1
12030031,CT,5,F,12,X12.1,2,10/1/2012,570,550,490,1610,50,NA,75,50,1,1,0,50,NA,82,100,0,1,0,71,50,92,83.8,1,1,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,50,62,90,81,1,0,1,87,85,NA,74.3,1,0,1
12030033,CT,8,M,12,X12.0,1,10/1/2010,440,360,420,1220,68.3,NA,76,59,1,1,0,NA,NA,NA,NA,0,0,0,88.5,NA,66,82,1,0,0,NA,NA,NA,NA,0,0,0,76,77,92,80.6,0,0,0,NA,NA,NA,NA,0,0,0,73,85,61,70.8,1,1,1,NA,NA,NA,NA,0,0,0
